"cainjector_cpu","cainjector_memory","certificate_count","certificaterequest_count","controller_cpu","controller_memory","secret_count","secret_size","timestamp","webhook_cpu","webhook_memory"
6,74563584000,1020,921,1495,153452544000,1533,8571225,1712438743,12,31752192000
6,74567680000,1020,928,1444,157523968000,1529,8599518,1712438753,14,31535104000
6,74563584000,1020,935,1117,157732864000,1533,8665809,1712438763,10,31547392000
6,74563584000,1020,943,1117,157732864000,1534,8710466,1712438773,10,31547392000
5,74510336000,1020,952,1905,159600640000,1532,8751214,1712438783,10,31653888000
7,74506240000,1020,957,1143,159961088000,1532,8792599,1712438793,9,31776768000
7,74506240000,1020,966,1143,159961088000,1531,8830712,1712438803,9,31776768000
5,74510336000,1020,972,1200,160120832000,1533,8884548,1712438813,10,31637504000
5,74506240000,1020,982,1492,164380672000,1535,8938372,1712438823,10,31637504000
5,74506240000,1020,988,1492,164380672000,1534,8982396,1712438833,10,31637504000
5,74465280000,1020,995,1503,164667392000,1535,9027045,1712438843,10,31690752000
5,74457088000,1020,1002,1192,164929536000,1531,9049451,1712438853,11,31526912000
5,74457088000,1020,1009,1192,164929536000,1534,9100648,1712438863,11,31526912000
5,74379264000,1020,1017,1826,164667392000,1536,9142654,1712438873,11,31481856000
5,74342400000,1020,1020,656,164933632000,1516,9133705,1712438883,13,31825920000
5,74342400000,1020,1020,656,164933632000,1484,9025741,1712438893,13,31825920000
6,74346496000,1020,1020,55,164806656000,1451,8917789,1712438903,7,31559680000
5,74346496000,1020,1020,53,164683776000,1419,8813089,1712438913,4,31727616000
5,74346496000,1020,1020,53,164683776000,1384,8698585,1712438923,4,31727616000
7,74346496000,1020,1020,46,164683776000,1352,8593881,1712438933,4,31379456000
6,74350592000,1020,1020,56,164765696000,1319,8485937,1712438943,4,31379456000
6,74350592000,1020,1020,56,164765696000,1285,8374713,1712438953,4,31379456000
6,74350592000,1020,1020,51,164773888000,1253,8270013,1712438963,4,31563776000
6,74346496000,1020,1020,53,164904960000,1219,8158789,1712438973,4,31449088000
6,74346496000,1020,1020,53,164904960000,1186,8050821,1712438983,4,31449088000
6,74346496000,1020,1020,47,165040128000,1154,7942865,1712438993,4,31334400000
5,74342400000,1020,1020,49,164937728000,1119,7831637,1712439003,4,31326208000
5,74342400000,920,920,49,164937728000,957,6946989,1712439013,4,31326208000
16,77701120000,820,820,93,165126144000,833,6206265,1712439023,6,31432704000
16,77701120000,710,710,93,165126144000,723,5399925,1712439033,6,31477760000
16,77701120000,570,570,93,165126144000,583,4459073,1712439043,6,31477760000
21,80121856000,450,450,440,169046016000,463,3719939,1712439053,2,31502336000
21,80171008000,350,350,92,163966976000,353,2947082,1712439063,3,31506432000
21,80171008000,220,220,92,163966976000,233,2174237,1712439073,3,31506432000
18,78508032000,120,120,92,163966976000,133,1502277,1712439083,4,31268864000
18,78512128000,20,20,582,167866368000,33,830229,1712439093,3,31637504000
18,78512128000,0,0,582,167866368000,13,695817,1712439102,3,31637504000
16,78401536000,0,0,1152,165634048000,13,695817,1712439112,4,31895552000
1,78401536000,0,0,1,165629952000,13,695817,1712439122,1,31895552000
1,78401536000,0,0,1,165629952000,13,695817,1712439132,1,31895552000
1,78393344000,0,0,2,165634048000,13,695817,1712439142,1,31895552000
1,78393344000,0,0,2,165629952000,13,695817,1712439152,1,31895552000
1,78393344000,0,0,2,165629952000,13,695817,1712439162,1,31895552000
